order_date,sales,year,month
2011-01-31,98902,2011,1
2011-02-28,91152,2011,2
2011-03-31,145726,2011,3
2011-04-30,116927,2011,4
2011-05-31,146762,2011,5
2011-06-30,215214,2011,6
2011-07-31,115518,2011,7
2011-08-31,207570,2011,8
2011-09-30,290230,2011,9
2011-10-31,199070,2011,10
2011-11-30,298499,2011,11
2011-12-31,333941,2011,12
2012-01-31,135775,2012,1
2012-02-29,100521,2012,2
2012-03-31,163092,2012,3
2012-04-30,161060,2012,4
2012-05-31,208370,2012,5
2012-06-30,256181,2012,6
2012-07-31,145247,2012,7
2012-08-31,303158,2012,8
2012-09-30,289390,2012,9
2012-10-31,252942,2012,10
2012-11-30,323512,2012,11
2012-12-31,338245,2012,12
2013-01-31,199197,2013,1
2013-02-28,167247,2013,2
2013-03-31,198591,2013,3
2013-04-30,177835,2013,4
2013-05-31,260525,2013,5
2013-06-30,396513,2013,6
2013-07-31,229940,2013,7
2013-08-31,326491,2013,8
2013-09-30,376626,2013,9
2013-10-31,293423,2013,10
2013-11-30,373996,2013,11
2013-12-31,405476,2013,12
2014-01-31,241267,2014,1
2014-02-28,184848,2014,2
2014-03-31,263110,2014,3
2014-04-30,242781,2014,4
2014-05-31,288404,2014,5
2014-06-30,401843,2014,6
2014-07-31,258718,2014,7
2014-08-31,456633,2014,8
2014-09-30,481186,2014,9
2014-10-31,422785,2014,10
2014-11-30,555312,2014,11
2014-12-31,503154,2014,12
